Entity,Year,Median,Upper,Lower
Tropics,1914,-0.198,-0.146,-0.255
Tropics,1915,-0.027,0.038,-0.091
Tropics,1916,-0.386,-0.323,-0.449
Tropics,1917,-0.539,-0.47,-0.607
Tropics,1918,-0.334,-0.262,-0.411
Tropics,1919,-0.204,-0.131,-0.267
Tropics,1920,-0.272,-0.209,-0.334
Tropics,1921,-0.243,-0.193,-0.301
Tropics,1922,-0.296,-0.241,-0.35
Tropics,1923,-0.251,-0.195,-0.311
Tropics,1924,-0.224,-0.171,-0.283
Tropics,1925,-0.212,-0.158,-0.28
Tropics,1926,0.044,0.092,-0.018
Tropics,1927,-0.113,-0.061,-0.169
Tropics,1928,-0.129,-0.08,-0.194
Tropics,1929,-0.244,-0.195,-0.31
Tropics,1930,-0.076,-0.025,-0.145
Tropics,1931,0.068,0.121,0
Tropics,1932,-0.11,-0.061,-0.175
Tropics,1933,-0.204,-0.154,-0.267
Tropics,1934,-0.189,-0.143,-0.252
Tropics,1935,-0.133,-0.088,-0.192
Tropics,1936,-0.095,-0.051,-0.153
Tropics,1937,0.02,0.063,-0.038
Tropics,1938,-0.099,-0.061,-0.154
Tropics,1939,-0.107,-0.075,-0.154
Tropics,1940,0.13,0.171,0.077
Tropics,1941,0.241,0.276,0.182
Tropics,1942,0.004,0.052,-0.066
Tropics,1943,-0.119,-0.074,-0.181
Tropics,1944,0.075,0.12,0.014
Tropics,1945,0.05,0.092,-0.002
Tropics,1946,-0.005,0.029,-0.062
Tropics,1947,0.014,0.062,-0.057
Tropics,1948,-0.056,-0.005,-0.131
Tropics,1949,-0.113,-0.066,-0.166
Tropics,1950,-0.223,-0.175,-0.274
Tropics,1951,-0.049,-0.01,-0.092
Tropics,1952,0.071,0.111,0.03
Tropics,1953,0.072,0.113,0.031
Tropics,1954,-0.159,-0.118,-0.2
Tropics,1955,-0.284,-0.249,-0.321
Tropics,1956,-0.317,-0.284,-0.352
Tropics,1957,0.014,0.048,-0.021
Tropics,1958,0.145,0.18,0.114
Tropics,1959,0.043,0.073,0.014
Tropics,1960,-0.021,0.008,-0.05
Tropics,1961,-0.032,-0.007,-0.068
Tropics,1962,-0.077,-0.056,-0.106
Tropics,1963,0.076,0.106,0.041
Tropics,1964,-0.145,-0.112,-0.172
Tropics,1965,-0.073,-0.04,-0.097
Tropics,1966,0.043,0.075,0.018
Tropics,1967,-0.147,-0.121,-0.17
Tropics,1968,-0.115,-0.096,-0.135
Tropics,1969,0.246,0.267,0.223
Tropics,1970,0.008,0.029,-0.017
Tropics,1971,-0.29,-0.263,-0.311
Tropics,1972,0.043,0.075,0.024
Tropics,1973,0.064,0.087,0.049
Tropics,1974,-0.296,-0.277,-0.313
Tropics,1975,-0.332,-0.316,-0.35
Tropics,1976,-0.25,-0.23,-0.266
Tropics,1977,0.021,0.039,0.007
Tropics,1978,-0.062,-0.042,-0.077
Tropics,1979,0.084,0.104,0.062
Tropics,1980,0.136,0.152,0.118
Tropics,1981,0.018,0.034,-0.001
Tropics,1982,0.065,0.086,0.037
Tropics,1983,0.222,0.244,0.198
Tropics,1984,0.003,0.024,-0.022
Tropics,1985,-0.063,-0.042,-0.086
Tropics,1986,0.048,0.071,0.023
Tropics,1987,0.358,0.389,0.332
Tropics,1988,0.205,0.231,0.175
Tropics,1989,-0.014,0.022,-0.046
Tropics,1990,0.206,0.244,0.17
Tropics,1991,0.206,0.243,0.166
Tropics,1992,0.109,0.15,0.068
Tropics,1993,0.162,0.204,0.121
Tropics,1994,0.159,0.201,0.113
Tropics,1995,0.285,0.33,0.239
Tropics,1996,0.193,0.233,0.15
Tropics,1997,0.368,0.409,0.321
Tropics,1998,0.564,0.606,0.515
Tropics,1999,0.158,0.202,0.106
Tropics,2000,0.17,0.22,0.128
Tropics,2001,0.35,0.401,0.305
Tropics,2002,0.469,0.513,0.422
Tropics,2003,0.507,0.552,0.46
Tropics,2004,0.43,0.473,0.383
Tropics,2005,0.487,0.532,0.438
Tropics,2006,0.449,0.495,0.399
Tropics,2007,0.365,0.408,0.32
Tropics,2008,0.274,0.318,0.226
Tropics,2009,0.541,0.584,0.492
Tropics,2010,0.535,0.579,0.485
Tropics,2011,0.243,0.287,0.197
Tropics,2012,0.346,0.391,0.3
Tropics,2013,0.404,0.448,0.356
Tropics,2014,0.516,0.562,0.472
Tropics,2015,0.737,0.781,0.69
Tropics,2016,0.763,0.806,0.713
Tropics,2017,0.563,0.607,0.514
Tropics,2018,0.472,0.517,0.424
